GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
shared-algo,com.shared.algo,SharedServicesApplication,28,0,0,0,9,0,5,0,5,0
shared-algo,com.shared.algo.model,IpData,53,27,0,0,15,14,8,7,8,7
shared-algo,com.shared.algo.handler,SharedAlgoExceptionHandler,6,0,0,0,2,0,2,0,2,0
shared-algo,com.shared.algo.service,CsvServiceImpl,167,125,21,9,29,27,14,6,1,4
shared-algo,com.shared.algo.service,StringContentUtilsServiceImpl,43,72,4,4,9,14,3,5,0,4
shared-algo,com.shared.algo.service,ReportServiceImpl,41,0,0,0,10,0,3,0,3,0
shared-algo,com.shared.algo.service,PDFServiceImpl,63,0,2,0,17,0,3,0,2,0
shared-algo,com.shared.algo.service,ImgContentServiceImpl,82,0,4,0,21,0,5,0,3,0
shared-algo,com.shared.algo.service,JsonContentServiceImpl.new TypeReference() {...},0,6,0,0,0,1,0,1,0,1
shared-algo,com.shared.algo.service,FileUtilsServiceImpl,58,0,6,0,13,0,5,0,2,0
shared-algo,com.shared.algo.service,JsonContentServiceImpl,6,47,2,2,1,11,2,4,0,4
shared-algo,com.shared.algo.service,XlsxServiceImpl,278,0,20,0,56,0,13,0,3,0
shared-algo,com.shared.algo.controller,ImgContentController,0,19,0,0,0,5,0,3,0,3
shared-algo,com.shared.algo.controller,HealthCheckController,0,10,0,0,0,2,0,2,0,2
shared-algo,com.shared.algo.controller,FileController,62,165,0,0,14,27,1,8,1,8
shared-algo,com.shared.algo.controller,StringUtilController,0,22,0,0,0,4,0,2,0,2
shared-algo,com.shared.algo.bean,CredentialEncoder,7,0,0,0,2,0,2,0,2,0
shared-algo,com.shared.algo.exception,BadRequestException,7,6,0,0,3,3,2,1,2,1
shared-algo,com.shared.algo.exception,ClassTypeNotSupportedException,9,0,0,0,4,0,2,0,2,0
shared-algo,com.shared.algo.enums,Messages,0,49,0,0,0,8,0,3,0,3
shared-algo,com.shared.algo.enums,ContentStatus,0,28,0,0,0,8,0,4,0,4
shared-algo,com.shared.algo.enums,FileConstants,0,35,0,0,0,6,0,3,0,3
shared-algo,com.shared.algo.config,SharedServicesApplicationContext,13,0,0,0,5,0,3,0,3,0
shared-algo,com.shared.algo.config,SwaggerConfig,17,0,0,0,3,0,2,0,2,0
shared-algo,com.shared.algo.config,SecurityConfig,43,0,0,0,6,0,3,0,3,0
shared-algo,com.shared.algo.utils,Errors,10,10,0,0,4,5,2,3,2,3
shared-algo,com.shared.algo.utils,SharedAlgosResponseBuilder,37,104,4,14,10,27,6,8,2,3
shared-algo,com.shared.algo.utils,GenericResponse,20,24,0,0,6,11,2,7,2,7
shared-algo,com.shared.algo.utils,MetaData,26,18,0,0,8,9,4,5,4,5
